,ID,station,place,pollutant
0,735,Aberdeen-Nitrogen dioxide in air,Aberdeen,Nitrogen dioxide in air
1,1233,Aberdeen-Nitrogen monoxide in air,Aberdeen,Nitrogen monoxide in air
2,734,Aberdeen-Nitrogen oxides in air,Aberdeen,Nitrogen oxides in air
3,785326,Aberdeen-Non-volatile PM10,Aberdeen Non,volatile PM10
4,785328,Aberdeen-Non-volatile PM2.5,Aberdeen Non,volatile PM2.5
5,737,Aberdeen-Ozone in air,Aberdeen,Ozone in air
6,738,Aberdeen-Particulate matter under 2.5 micro m (aerosol),Aberdeen,Particulate matter under 2.5 micro m (aerosol)
7,736,Aberdeen-PM10 in aerosol,Aberdeen,PM10 in aerosol
8,784490,Aberdeen-PM10 in aerosol,Aberdeen,PM10 in aerosol
9,740,Aberdeen Union Street Roadside-Nitrogen dioxide in air,Aberdeen Union Street Roadside,Nitrogen dioxide in air
10,1232,Aberdeen Union Street Roadside-Nitrogen monoxide in air,Aberdeen Union Street Roadside,Nitrogen monoxide in air
11,739,Aberdeen Union Street Roadside-Nitrogen oxides in air,Aberdeen Union Street Roadside,Nitrogen oxides in air
12,785327,Aberdeen-Volatile PM10,Aberdeen,Volatile PM10
13,785329,Aberdeen-Volatile PM2.5,Aberdeen,Volatile PM2.5
14,3988,Aberdeen Wellington Road-Nitrogen dioxide in air,Aberdeen Wellington Road,Nitrogen dioxide in air
15,4078,Aberdeen Wellington Road-Nitrogen monoxide in air,Aberdeen Wellington Road,Nitrogen monoxide in air
16,3987,Aberdeen Wellington Road-Nitrogen oxides in air,Aberdeen Wellington Road,Nitrogen oxides in air
17,748,Armagh Roadside-Nitrogen dioxide in air,Armagh Roadside,Nitrogen dioxide in air
18,1230,Armagh Roadside-Nitrogen monoxide in air,Armagh Roadside,Nitrogen monoxide in air
19,746,Armagh Roadside-Nitrogen oxides in air,Armagh Roadside,Nitrogen oxides in air
20,3990,Armagh Roadside-Non-volatile PM10,Armagh Roadside Non,volatile PM10
21,747,Armagh Roadside-PM10 in aerosol,Armagh Roadside,PM10 in aerosol
22,3989,Armagh Roadside-Volatile PM10,Armagh Roadside,Volatile PM10
23,2681,Aston Hill-Nitrogen dioxide in air,Aston Hill,Nitrogen dioxide in air
24,2755,Aston Hill-Nitrogen monoxide in air,Aston Hill,Nitrogen monoxide in air
25,2680,Aston Hill-Nitrogen oxides in air,Aston Hill,Nitrogen oxides in air
26,2679,Aston Hill-Ozone in air,Aston Hill,Ozone in air
27,2816,"Auchencorth Moss-1,2,3-Trimethylbenzene (air)","Auchencorth Moss 1,2,3",Trimethylbenzene (air)
28,2840,"Auchencorth Moss-1,2,4-Trimethylbenzene (air)","Auchencorth Moss 1,2,4",Trimethylbenzene (air)
29,2841,"Auchencorth Moss-1,3,5-Trimethylbenzene (air)","Auchencorth Moss 1,3,5",Trimethylbenzene (air)
30,2829,Auchencorth Moss-1.3 Butadiene (air),Auchencorth Moss,1.3 Butadiene (air)
31,2825,Auchencorth Moss-1-Butene (air),Auchencorth Moss 1,Butene (air)
32,2325,Auchencorth Moss-1-Methyl anthracene in PM10 in air+aerosol,Auchencorth Moss 1,Methyl anthracene in PM10 in air+aerosol
33,2406,Auchencorth Moss-1-Methyl anthracene in precip+dry_dep,Auchencorth Moss 1,Methyl anthracene in precip+dry_dep
34,2397,Auchencorth Moss-1-Methyl Naphthalene in precip+dry_dep,Auchencorth Moss 1,Methyl Naphthalene in precip+dry_dep
35,2407,Auchencorth Moss-1-Methyl phenanthrene in precip+dry_dep,Auchencorth Moss 1,Methyl phenanthrene in precip+dry_dep
36,2813,Auchencorth Moss-1-Pentene (air),Auchencorth Moss 1,Pentene (air)
37,2405,Auchencorth Moss-2-Methyl anthracene in precip+dry_dep,Auchencorth Moss 2,Methyl anthracene in precip+dry_dep
