Date,Time,Nitrogen oxides as nitrogen dioxide,Status
01/01/2016,01:00:00,70.67708,V ugm-3
01/01/2016,02:00:00,67.41881,V ugm-3
01/01/2016,03:00:00,79.18133,V ugm-3
01/01/2016,04:00:00,113.14446,V ugm-3
01/01/2016,05:00:00,108.40958,V ugm-3
01/01/2016,06:00:00,47.86509,V ugm-3
01/01/2016,07:00:00,81.57482,V ugm-3
01/01/2016,08:00:00,45.72644,V ugm-3
01/01/2016,09:00:00,51.9894,V ugm-3
01/01/2016,10:00:00,58.96572,V ugm-3
01/01/2016,11:00:00,51.3272,V ugm-3
01/01/2016,12:00:00,65.94157,V ugm-3
01/01/2016,13:00:00,36.00042,V ugm-3
01/01/2016,14:00:00,30.75587,V ugm-3
01/01/2016,15:00:00,25.46016,V ugm-3
01/01/2016,16:00:00,24.79843,V ugm-3
01/01/2016,17:00:00,24.54359,V ugm-3
01/01/2016,18:00:00,22.71046,V ugm-3
01/01/2016,19:00:00,17.66911,V ugm-3
01/01/2016,20:00:00,18.33131,V ugm-3
01/01/2016,21:00:00,17.66911,V ugm-3
01/01/2016,22:00:00,14.71621,V ugm-3
01/01/2016,23:00:00,13.64664,V ugm-3
01/01/2016,24:00:00,11.25363,V ugm-3
02/01/2016,01:00:00,10.54298,V ugm-3
02/01/2016,02:00:00,11.9034,V ugm-3
02/01/2016,03:00:00,7.60123,V ugm-3
02/01/2016,04:00:00,7.14175,V ugm-3
02/01/2016,05:00:00,7.65191,V ugm-3
02/01/2016,06:00:00,7.75375,V ugm-3
02/01/2016,07:00:00,10.20319,V ugm-3
02/01/2016,08:00:00,18.00858,V ugm-3
02/01/2016,09:00:00,17.03942,V ugm-3
02/01/2016,10:00:00,24.53833,V ugm-3
02/01/2016,11:00:00,25.10013,V ugm-3
02/01/2016,12:00:00,28.56893,V ugm-3
02/01/2016,13:00:00,36.73148,V ugm-3
02/01/2016,14:00:00,56.32169,V ugm-3
02/01/2016,15:00:00,55.35205,V ugm-3
02/01/2016,16:00:00,52.49526,V ugm-3
02/01/2016,17:00:00,53.97505,V ugm-3
02/01/2016,18:00:00,49.99562,V ugm-3
02/01/2016,19:00:00,36.22132,V ugm-3
02/01/2016,20:00:00,36.62916,V ugm-3
02/01/2016,21:00:00,34.58852,V ugm-3
02/01/2016,22:00:00,58.77065,V ugm-3
02/01/2016,23:00:00,57.13785,V ugm-3
02/01/2016,24:00:00,56.37285,V ugm-3
03/01/2016,01:00:00,41.93985,V ugm-3
03/01/2016,02:00:00,53.03809,V ugm-3
03/01/2016,03:00:00,90.0252,V ugm-3
03/01/2016,04:00:00,75.98315,V ugm-3
03/01/2016,05:00:00,35.69347,V ugm-3
03/01/2016,06:00:00,15.7786,V ugm-3
03/01/2016,07:00:00,6.22997,V ugm-3
03/01/2016,08:00:00,15.77908,V ugm-3
03/01/2016,09:00:00,19.25075,V ugm-3
03/01/2016,10:00:00,24.30644,V ugm-3
03/01/2016,11:00:00,27.72743,V ugm-3
03/01/2016,12:00:00,43.55767,V ugm-3
03/01/2016,13:00:00,64.34033,V ugm-3
03/01/2016,14:00:00,30.89357,V ugm-3
03/01/2016,15:00:00,31.35353,V ugm-3
03/01/2016,16:00:00,33.65139,V ugm-3
03/01/2016,17:00:00,40.08504,V ugm-3
03/01/2016,18:00:00,25.94019,V ugm-3
03/01/2016,19:00:00,28.7487,V ugm-3
03/01/2016,20:00:00,46.21269,V ugm-3
03/01/2016,21:00:00,24.97056,V ugm-3
03/01/2016,22:00:00,44.5273,V ugm-3
03/01/2016,23:00:00,63.62553,V ugm-3
03/01/2016,24:00:00,44.73194,V ugm-3
04/01/2016,01:00:00,34.82408,V ugm-3
04/01/2016,02:00:00,48.99889,V ugm-3
04/01/2016,03:00:00,32.09797,V ugm-3
04/01/2016,04:00:00,23.10252,V ugm-3
