Date,Time,Nitrogen oxides as nitrogen dioxide,Status
21/09/2016,09:00:00,101.05028,V ugm-3
21/09/2016,10:00:00,98.6348,V ugm-3
21/09/2016,11:00:00,64.60377,V ugm-3
21/09/2016,12:00:00,35.01883,V ugm-3
21/09/2016,13:00:00,34.41496,V ugm-3
21/09/2016,14:00:00,36.72048,V ugm-3
21/09/2016,15:00:00,42.70326,V ugm-3
21/09/2016,16:00:00,52.63869,V ugm-3
21/09/2016,17:00:00,67.78761,V ugm-3
21/09/2016,18:00:00,64.9332,V ugm-3
21/09/2016,19:00:00,69.48973,V ugm-3
21/09/2016,20:00:00,71.73979,V ugm-3
21/09/2016,21:00:00,56.15148,V ugm-3
21/09/2016,22:00:00,70.97096,V ugm-3
21/09/2016,23:00:00,63.8359,V ugm-3
21/09/2016,24:00:00,42.92319,V ugm-3
22/09/2016,01:00:00,36.24698,V ugm-3
22/09/2016,02:00:00,44.66261,V ugm-3
22/09/2016,03:00:00,32.33416,V ugm-3
22/09/2016,04:00:00,21.48263,V ugm-3
22/09/2016,05:00:00,15.17043,V ugm-3
22/09/2016,06:00:00,18.49244,V ugm-3
22/09/2016,07:00:00,33.5529,V ugm-3
22/09/2016,08:00:00,48.27963,V ugm-3
22/09/2016,09:00:00,34.88113,V ugm-3
22/09/2016,10:00:00,17.49555,V ugm-3
22/09/2016,11:00:00,21.48216,V ugm-3
22/09/2016,12:00:00,19.59978,V ugm-3
22/09/2016,13:00:00,28.40349,V ugm-3
22/09/2016,14:00:00,20.09846,V ugm-3
22/09/2016,15:00:00,25.41378,V ugm-3
22/09/2016,16:00:00,30.06402,V ugm-3
22/09/2016,17:00:00,32.49959,V ugm-3
22/09/2016,18:00:00,51.76803,V ugm-3
22/09/2016,19:00:00,45.34538,V ugm-3
22/09/2016,20:00:00,24.91509,V ugm-3
22/09/2016,21:00:00,24.02961,V ugm-3
22/09/2016,22:00:00,26.35473,V ugm-3
22/09/2016,23:00:00,32.50055,V ugm-3
22/09/2016,24:00:00,23.47546,V ugm-3
23/09/2016,01:00:00,23.32613,V ugm-3
23/09/2016,02:00:00,21.83501,V ugm-3
23/09/2016,03:00:00,15.70641,V ugm-3
23/09/2016,04:00:00,13.24693,V ugm-3
23/09/2016,05:00:00,23.97797,V ugm-3
23/09/2016,06:00:00,31.35544,V ugm-3
23/09/2016,07:00:00,62.54401,V ugm-3
23/09/2016,08:00:00,59.91767,V ugm-3
23/09/2016,09:00:00,48.12424,V ugm-3
23/09/2016,10:00:00,28.78504,V ugm-3
23/09/2016,11:00:00,21.85414,V ugm-3
23/09/2016,12:00:00,26.15822,V ugm-3
23/09/2016,13:00:00,21.91008,V ugm-3
23/09/2016,14:00:00,20.9041,V ugm-3
23/09/2016,15:00:00,25.93398,V ugm-3
